Time, kW
00:30,57.76
01:00,56.35
01:30,55.8
02:00,55.47
02:30,55.44
03:00,54.37
03:30,55.39
04:00,54
04:30,53.18
05:00,52.86
05:30,52.82
06:00,53.37
06:30,53.68
07:00,54.81
07:30,59.3
08:00,60.89
08:30,64.32
09:00,69.91
09:30,77.27
10:00,77.55
10:30,79.14
11:00,78.02
11:30,77.69
12:00,79.46
12:30,80.78
13:00,81.64
13:30,82.78
14:00,80.98
14:30,79.92
15:00,79.97
15:30,80.69
16:00,80.11
16:30,81.58
17:00,83.7
17:30,83.09
18:00,79.52
18:30,77.34
19:00,74.66
19:30,69.98
20:00,66.94
20:30,65.17
21:00,64.47
21:30,63.79
22:00,62.59
22:30,61.56
23:00,60.91
23:30,59.86
00:00,58.94